item,name,description,type,category,subcategory,text,label
http://www.wikidata.org/entity/Q55439,panel painting,painting made on a flat panel made of wood,concept,Visual Arts,painting,"A panel painting is a painting made on a flat panel of wood, either a single piece or a number of pieces joined together. Until canvas became the more popular support medium in the 16th century, panel painting was the normal method, when not painting directly onto a wall (fresco) or on vellum (used for miniatures in illuminated manuscripts). Wood panels were also used for mounting vellum paintings.


== History ==

Panel painting is very old; it was a very prestigious medium in Greece and Rome, but only very few examples of ancient panel paintings have survived. A series of 6th century BC painted tablets from Pitsa (Greece) represent the oldest surviving Greek panel paintings. Most classical Greek paintings that were famous in their day seem to have been of a size comparable to smaller modern works – perhaps up to a half-length portrait size. However, for a generation in the second quarter of the fifth-century BC there was a movement, called the ""new painting"" and led by Polygnotus, fo",cultural agnostic
http://www.wikidata.org/entity/Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead",concept,Books,non-fiction writer,"Research is creative and systematic work undertaken to increase the stock of knowledge. It involves the collection, organization, and analysis of evidence to increase understanding of a topic, characterized by a particular attentiveness to controlling sources of bias and error. These activities are characterized by accounting and controlling for biases. A research project may be an expansion of past work in the field. To test the validity of instruments, procedures, or experiments, research may replicate elements of prior projects or the project as a whole.
The primary purposes of basic research (as opposed to applied research) are documentation, discovery, interpretation, and the research and development (R&D) of methods and systems for the advancement of human knowledge. Approaches to research depend on epistemologies, which vary considerably both within and between humanities and sciences. There are several forms of research: scientific, humanities, artistic, economic, social, busin",cultural agnostic
http://www.wikidata.org/entity/Q2250579,Shu'ubiyya,Iranian movement against the supremacy of the Arab race,concept,philosophy and religion,religious movement,"Shu'ubiyya (Arabic: الشعوبية) was a literary-political movement which opposed the privileged status of Arabs within the Muslim community and the Arabization campaigns particularly by the Umayyads. The vast majority of the Shu'ubis were Persian. The movement was first seriously studied by Ignaz Goldziher (d. 1921) in the first volume of his work Muslim Studies.


== Terminology ==
The name of the movement is derived from the Qur'anic use of the word for ""nations"" or ""peoples"", šuʿūb. The verse (49:13)

:يَا أَيُّهَا النَّاسُ إِنَّا خَلَقْنَاكُم مِّن ذَكَرٍ وَأُنثَى وَجَعَلْنَاكُمْ شُعُوباً وَقَبَائِلَ لِتَعَارَفُوا إِنَّ أَكْرَمَكُمْ عِندَ اللَّهِ أَتْقَاكُمْ إِنَّ اللَّهَ عَلِيمٌ خَبِيرٌ O mankind, indeed We have created you from male and female and made you peoples and tribes that you may know one another. Indeed, the most noble of you in the sight of Allah is the most righteous of you. Indeed, Allah is Knowing and Acquainted.(translated by Saheeh International)


== In Iran ==

When ",cultural exclusive
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience,named entity,Music,musician,"Singing is the art of creating music with the voice. It is the oldest form of musical expression, and the human voice can be considered the first musical instrument. The definition of singing varies across sources. Some sources define singing as the act of creating musical sounds with the voice. Other common definitions include ""the utterance of words or sounds in tuneful succession"" or ""the production of musical tones by means of the human voice"".
A person whose profession is singing is called a singer or a vocalist (in jazz or popular music). Singers perform music (arias, recitatives, songs, etc.) that can be sung with or without accompaniment by musical instruments. Singing is often done in an ensemble of musicians, such as a choir. Singers may perform as soloists or accompanied by anything from a single instrument (as in art songs or some jazz styles) up to a symphony orchestra or big band. Many styles of singing exist throughout the world.
Singing can be formal or informal, arrang",cultural agnostic
http://www.wikidata.org/entity/Q47520669,diplomatician,person who studies the protocols of documents,concept,History,historian,"A diplomat (from Ancient Greek: δίπλωμα; romanized diploma) is a person appointed by a state, intergovernmental, or nongovernmental institution to conduct diplomacy with one or more other states or international organizations.
The main functions of diplomats are representation and protection of the interests and nationals of the sending state; initiation and facilitation of strategic agreements, treaties and conventions; and promotion of information, trade and commerce, technology, and friendly relations. Seasoned diplomats of international repute are used in international organizations (for example, the United Nations, the world's largest diplomatic forum) as well as multinational companies for their experience in management and negotiating skills. Diplomats are members of foreign services and diplomatic corps of various nations of the world.
The sending state is required to get the consent of the receiving state for a person proposed to serve in key diplomatic positions such as an am",cultural agnostic
http://www.wikidata.org/entity/Q182950,Studio Ghibli,Japanese animation studio,named entity,Comics and Anime,animation studio,"Studio Ghibli, Inc. (Japanese: 株式会社スタジオジブリ, Hepburn: Kabushiki-gaisha Sutajio Jiburi) is a Japanese animation studio based in Koganei, Tokyo. It has a strong presence in the animation industry and has expanded its portfolio to include various media such as short subjects, television commercials and two television films. Their work has been well received by audiences and recognized with numerous awards. Their mascot and most recognizable symbol, the character Totoro from the 1988 film My Neighbor Totoro, is a giant spirit inspired by raccoon dogs (tanuki) and cats (neko). Among the studio's highest-grossing films are Princess Mononoke (1997), Spirited Away (2001), Howl's Moving Castle (2004), Ponyo (2008), and The Boy and the Heron (2023). Studio Ghibli was founded on June 15, 1985, by the directors Hayao Miyazaki and Isao Takahata and producer Toshio Suzuki, after acquiring Topcraft's assets.
Four of the studio's films are among the ten highest-grossing Japanese feature films; Spirited",cultural representative
http://www.wikidata.org/entity/Q1154859,rock festival,type of music festival,concept,Music,music festival,"A rock festival is an open-air rock concert featuring many different performers, typically spread over two or three days and having a campsite and other amenities and forms of entertainment provided at the venue. Some festivals are singular events, while others recur annually in the same location. Occasionally, a festival will focus on a particular genre (e.g., folk, heavy metal, world music), but many attempt to bring together a diverse lineup to showcase a broad array of popular music trends.


== History ==
Initially, some of the earliest rock festivals were built on the foundation of pre-existing jazz and blues festivals, but quickly evolved to reflect the rapidly changing musical tastes of the time. For example, the United Kingdom's National Jazz Festival was launched in Richmond from 26 to 27 August 1961. The first three of these annual outdoor festivals featured only jazz music, but by the fourth ""Jazz & Blues Festival"" in 1964, a shift had begun that incorporated some blues and",cultural agnostic
http://www.wikidata.org/entity/Q31454881,Baldegg Kloster railway station,railway station in Switzerland,named entity,transportation,station,"Baldegg Kloster railway station (German: Bahnhof Baldegg Kloster) is a railway station in the municipality of Hochdorf, in the Swiss canton of Lucerne. It is an intermediate stop on the standard gauge Seetal line of Swiss Federal Railways.


== Services ==
The following services stop at Baldegg Kloster:

Lucerne S-Bahn S9: half-hourly service between Lucerne and Lenzburg.


== References ==


== External links ==
 Media related to Baldegg Kloster railway station at Wikimedia Commons
Baldegg Kloster railway station – SBB",cultural exclusive
http://www.wikidata.org/entity/Q62855,Alexander Braun,German botanist and university teacher (1805–1877),named entity,Biology,biologist,"Alexander Carl Heinrich Braun (10 May 1805 – 29 March 1877) was a German botanist from Regensburg, Bavaria. His research centered on the morphology of plants and was a very influential teacher who worked as a professor of botany at the universities of Freiburg, Giessen, and Berlin at various times. He was also the director of the Berlin Botanical Garden.


== Biography ==
Braun was born in Regensburg (Ratisbon) where his father Alexander was a tax inspector in the postal department. His mother Henriette was the daughter of a priest and mathematics professor. He studied at Karlsruhe and Freiburg (Breisgau) where his father was transferred. He went to the University of Heidelberg to study medicine. His teachers included Gottlieb Wilhelm Bischoff, Johann Heinrich Dierbach and Franz Joseph Schelver.  At Heidelberg he studied with Louis Agassiz, Carl Schimper and George Engelmann. Agassiz would marry Braun's sister Cecilie while Schimper was engaged briefly to Braun's sister Emilie. He comp",cultural exclusive
http://www.wikidata.org/entity/Q254907,genrō,Japanese elder statesmen,concept,politics,politician,"Genrō (元老, lit. 'original elder') was an unofficial designation given to a generation of elder Japanese statesmen, all born in the 1830s and 1840s, who served as informal extraconstitutional advisors to the emperor during the Meiji, Taishō, and early Shōwa eras of Japanese history.
The institution of genrō originated with the traditional council of elders (Rōjū) common in the Edo period; however, the term genrō appears to have been coined by a newspaper only in 1892. The term is sometimes confused with the Genrōin (Chamber of Elders), a legislative body which existed from 1875–1890; however, the genrō were not related to the establishment of that body or its dissolution.
Experienced leaders of the Meiji Restoration were singled out by the Emperor as genkun (元勲, lit. 'original hero'), and asked to act as Imperial advisors. With the exception of Saionji Kinmochi, all the genrō were from medium or lower ranking samurai families, four each from Satsuma and Chōshū, the two former domains th",cultural exclusive
http://www.wikidata.org/entity/Q591942,distributary,stream that branches off and flows away from a main stream channel,concept,Geography,river,"A distributary, or a distributary channel is a stream channel that branches off and flows away from a main stream channel. It is the opposite of a tributary, a stream that flows towards and into another stream or river. Distributaries are a result of river bifurcation and are often found where a river approaches a lake or an ocean and divides into distributary networks; as such they are a common feature of river deltas. They can also occur inland, on alluvial fans, or where a tributary stream bifurcates as it nears its confluence with a larger stream. In some cases, a minor distributary can divert so much water from the main channel that it can later become the main route.


== Related terms ==
Common terms to name individual river distributaries in English-speaking countries are arm and channel. These terms may refer to a distributary that does not rejoin the channel from which it has branched (e.g., the North, Middle, and South Arms of the Fraser River, or the West Channel of the Mac",cultural agnostic
http://www.wikidata.org/entity/Q942219,kanga,"traditional wrapped garment of East Africa, typically worn by women",named entity,Fashion,clothing,"The kanga (in some areas known as leso) is a colourful fabric similar to kitenge, but lighter, worn by women and occasionally by men throughout the African Great Lakes region. It is a piece of printed cotton fabric, about 1.5 m by 1 m, often with a border along all four sides (called pindo in Swahili), and a central part (mji) which differs in design from the borders. They are sold in pairs, which can then be cut and hemmed to be used as a set.


== Origins ==

Kangas have been a traditional type of dress amongst women in East Africa since the 19th century.


=== Merikani ===
According to some sources, it was developed from a type of unbleached cotton cloth imported from the US. The cloth was known as merikani in Zanzibar, a Swahili noun derived from the adjective American (indicative of the place it originated). Male slaves wrapped it around their waist and female slaves wrapped it under their armpits. To make the cloth more feminine, slave women occasionally dyed them black or dark b",cultural exclusive
http://www.wikidata.org/entity/Q178671,Theosophy,religion founded by Helena Blavatsky,concept,philosophy and religion,religion,"Theosophy is an occult religious movement established in the United States in the late 19th century. Founded primarily by the Russian Helena Blavatsky and based largely on her writings, it draws heavily from both older European philosophies such as Neoplatonism and Indian religions such as Hinduism and Buddhism. Although many adherents maintain that Theosophy is not a religion, it is variably categorized by religious scholars as both a new religious movement and a form of occultism from within Western esotericism.
As presented by Blavatsky, Theosophy teaches that there is an ancient and secretive brotherhood of spiritual adepts known as the Masters, who are found around the world but primarily centered in Tibet. These Masters were alleged by Blavatsky to have cultivated great wisdom and supernatural powers, and Theosophists believe they initiated the modern Theosophical movement through disseminating their teachings via Blavatsky. Theosophists believe that these Masters are attempting ",cultural representative
http://www.wikidata.org/entity/Q890057,body modification,deliberate altering of the human anatomy for non-medical reasons,concept,Gestures and habits,mores,"Body modification (or body alteration) is the deliberate altering of the human anatomy or human physical appearance. In its broadest definition it includes skin tattooing, socially acceptable decoration (e.g., common ear piercing in many societies), and religious rites of passage (e.g., circumcision in a number of cultures), as well as the modern primitive movement.
Body modification is performed for a large variety of reasons, including aesthetics, sexual enhancement, rites of passage, religious beliefs, to display group membership or affiliation, in remembrance of lived experience, traditional symbolism such as axis mundi and mythology, to create body art, for shock value, and as self-expression, among other reasons.


== Background ==
 
What counts as ""body modification"" varies in cultures. In western cultures, the cutting or removal of one's hair is not usually considered body modification. Body modification can be contrasted with body adornment by defining body modification as ""th",cultural agnostic
http://www.wikidata.org/entity/Q6839890,Microphotography,writing style in science journalism,concept,Literature,writing style,"Microphotography is a writing style that emerged in the early 1990s in science journalism. The style is named after micrographs and is distinctive for its highly detailed, worm's eye or microscopic view of the macroscopic world.
One of the flagship works in this style was David Bodanis's commercially prominent The Secret House: 24 hours in the strange & wonderful world in which we spend our nights and days. This book followed daily life in a typical enclosed human habitat in minute detail, featuring detailed physical and biological explanations.


== References ==",cultural agnostic
http://www.wikidata.org/entity/Q5180408,Crackle,digital streaming video content network,concept,media,streaming service,"Crackle is an American-based video streaming service.


== History ==
Grouper Networks, an encrypted P2P network that integrates file sharing, instant messaging and multimedia streaming, was founded in 2004 by Josh Felser, Dave Samuel, Mike Sitrin, and Aviv Aiyal. Later, Sony purchased it in August 2006 for $65 million. In July 2007, Sony rebranded Grouper as Crackle, a multi-platform video-entertainment network and studio, and in late 2008 appointed Eric Berger as general manager.
In March 2011, Crackle launched its streaming services on Bravia TVs, the Playstation 3, Roku boxes, and Sony Blu-ray players. It also partnered with Xbox Live and added its content to Xbox 360.
In January 2012, Crackle added Animax to its content for users in the US and Canada, and later by the end of March 2013, Animax branding was removed.

In June 2013, it released an app for the Blackberry 10 platform and added its content to the Apple TV set-top box.
On April 1, 2014, Sony Pictures Television ceased it",cultural agnostic
http://www.wikidata.org/entity/Q10798,Sus,genus of mammals in the family Suidae,named entity,Biology,animal,"Sus () is the genus of domestic and wild pigs, within the even-toed ungulate family Suidae. Sus includes domestic pigs (Sus domesticus) and their ancestor, the common Eurasian wild boar (Sus scrofa), along with various other species. Sus species, like all suids, are native to the Eurasian and African continents, ranging from Europe to the Pacific islands.
Juvenile pigs are known as piglets. Pigs live in complex social groups and are considered one of the more intelligent mammals, as reflected in their ability to learn.
With around 1 billion of this species alive at any time, the domestic pig is among the most populous large mammals in the world. Pigs are omnivores and can consume a wide range of food. Pigs are biologically similar to humans and are thus frequently used for human medical research.


== Etymology ==
The Online Etymology Dictionary provides anecdotal evidence as well as linguistic, saying that the term derives

probably from Old English *picg, found in compounds, ultimate",cultural agnostic
http://www.wikidata.org/entity/Q354239,minor party,political party with little influence in the governing of a country,named entity,politics,political party,"A minor party is a political party that plays a smaller (in some cases much smaller, even insignificant in comparison) role than a major party in a country's politics and elections. The difference between minor and major parties can be so great that the membership total, donations, and the candidates that they are able to produce or attract are very distinct. Some of the minor parties play almost no role in a country's politics because of their low recognition, vote and donations. Minor parties often receive very small numbers of votes at an election (to the point of losing any candidate nomination deposit). The method of voting can also assist or hinder a minor party's chances.  For example, in an election for more than one member, the proportional representation method of voting can be advantageous to a minor party as can preference allocation from one or both of the major parties.
A minor party that follows the direction/directive of some other major parties is called a bloc party o",cultural agnostic
http://www.wikidata.org/entity/Q61391,cheerleading,sports activity in which the participants cheer for their team as a form of encouragement,concept,Performing arts,dance,"Cheerleading is an activity in which the participants (called cheerleaders) cheer for their team as a form of encouragement. It can range from chanting slogans to intense physical activity. It can be performed to motivate sports teams, to entertain the audience, or for competition. Cheerleading routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Cheerleading originated in the United States, where it has become a tradition. It is less prevalent in the rest of the world, except via its association with American sports or organized cheerleading contests.
Modern cheerleading is very closely associated with American football and basketball. Sports such as association football (soccer), ice hockey, volleyball, baseball, and wrestling will sometimes sponsor cheerleading squads. The ICC Twenty20 Cricket World Cup in South Africa in 2007 was the first international cricket event to have cheerleaders. Some Brazilian",cultural representative
http://www.wikidata.org/entity/Q32491,Qantas,the flag carrier airline of Australia,named entity,media,production company,"Qantas ( KWON-təs), formally Qantas Airways Limited, is the flag carrier of Australia, and the largest airline by fleet size, international flights, and international destinations in Australia and Oceania. A founding member of the Oneworld airline alliance, it is the only airline in the world that flies to all seven continents, with it operating flights to Africa, Antarctica, Asia, Europe, North America and South America from its hubs in Sydney, Perth, Melbourne, and Brisbane. It also flies to over 60 domestic destinations across Australia.
Qantas is the world's third-oldest airline by foundation date and the oldest airline in the English-speaking world — being founded in November 1920. Qantas is an acronym of the airline's original name, Queensland and Northern Territory Aerial Services, as it originally served Queensland and the Northern Territory. It is popularly nicknamed ""The Flying Kangaroo"" and has the official slogan ""Spirit of Australia"".
Qantas is based in the Sydney suburb o",cultural representative
http://www.wikidata.org/entity/Q704948,body double,profession,concept,Performing arts,actor,"In filmmaking, a double is a person who substitutes for another actor such that the person's face is not shown. There are various terms associated with a double based on the specific body part or ability they serve as a double for, such as stunt double, ""dance double"", ""butt double"" and ""hand double"".


== Types of doubles ==


=== Body double ===

A body double or photography double is used in certain specific shots to replace the credited actor of a character. The body double's face is obscured to maintain the illusion that they are the same character; usually by shooting their body at an angle that leaves their face out (such as by showing the body double from the back) or in post-production by superimposing the original actor's face over the body double's. The double's face is usually not seen on-camera, particularly when they do not facially resemble the actor; a wig will usually be employed if the double's hair color is different from that of the main actor. This is in contrast t",cultural agnostic
http://www.wikidata.org/entity/Q6379416,Kawabata Evaluation System,system to measure the mechanical properties of fabrics,concept,Fashion,textile,"The Kawabata evaluation system (KES) is used to measure the mechanical properties of fabrics. The system was developed by a team led by Professor Kawabata in the department of polymer chemistry, Kyoto University Japan.
KES is composed of four different machines on which a total of six tests can be performed:

Tensile & shear tester – tensile, shear
Pure bending tester – pure bending
Compression tester – compression
Surface tester – surface friction and roughness
The evaluation can include measurement of the transient heat transfer properties associated with the sensation of coolness generated when fabrics contact the skin during wear. The KES not only predicts human response but understands the perception of softness.


== External links ==
Discussion of Kawabata System at NC State U website


== References ==

Kawabata, S.; Niwa, M. (1989). ""Fabric Performance in Clothing Manufacture"". Journal of the Textile Institute. 80 (1): 19–50. doi:10.1080/00405008908659184.
Wu, Z.; C.K. Au; Mat",cultural agnostic
http://www.wikidata.org/entity/Q1451709,women's cinema,women role-related cinema,concept,Films,film genre,"Women's cinema primarily describes cinematic works directed (and optionally produced too) by women filmmakers. The works themselves do not have to be stories specifically about women, and the target audience can be varied.
It is also a variety of topics bundled together to create the work of women in film. This can include women filling behind-the-scenes roles such as director, cinematographer, writer, and producer while also addressing the stories of women and character development through screenplays (on the other hand, films made by men about women are instead called Woman's film).
Renowned female directors include Alice Guy-Blaché, film pioneer and one of the first film directors, Agnès Varda, the first French New Wave director, Margot Benacerraf 1959, the first woman to win the Cannes International Critics Prize and be nominated for the Palme D'Or,Yulia Solntseva, the first woman to win the Best Director Award at Cannes Film Festival (1961), Lina Wertmüller, the first woman nomina",cultural agnostic
http://www.wikidata.org/entity/Q266569,animator,person who makes animated sequences out of still images,concept,Visual Arts,artist,"An animator is an artist who creates  images, known as frames, which give an illusion of movement called animation when displayed in rapid sequence. Animators can work in a variety of fields including film, television, and video games. Animation is closely related to filmmaking and like filmmaking is extremely labor-intensive, which means that most significant works require the collaboration of several animators. The methods of creating the images or frames for an animation piece depend on the animators' artistic styles and their field.
Other artists who contribute to animated cartoons, but who are not animators, include layout artists (who design the backgrounds, lighting, and camera angles), storyboard artists (who draw panels of the action from the script), and background artists (who paint the ""scenery"").  Animated films share some film crew positions with regular live action films, such as director, producer, sound engineer, and editor, but differ radically in that for most of the",cultural agnostic
http://www.wikidata.org/entity/Q170593,collaging,technique of art production using assemblage of different forms,concept,Visual Arts,visual arts,"Collage (, from the French: coller, ""to glue"" or ""to stick together"") is a technique of art creation, primarily used in the visual arts, but in music too, by which art results from an assembly of different forms, thus creating a new whole. (Compare with pastiche, which is a ""pasting"" together.)   Collage may refer to the technique as a whole, or more specifically to a two-dimensional work, assembled from flat pieces on a flat substrate, whereas assemblage typically refers to a three-dimensional equivalent.
A collage may sometimes include magazine and newspaper clippings, ribbons, paint, bits of colored or handmade papers, portions of other artwork or texts, photographs and other found objects, glued to a piece of paper or canvas. The origins of collage can be traced back hundreds of years, but this technique made a dramatic reappearance in the early 20th century as an art form of novelty.
The term Papier collé was coined by both Georges Braque and Pablo Picasso in the beginning of the ",cultural agnostic
http://www.wikidata.org/entity/Q828043,bouillabaisse,traditional Provençal fish stew,concept,food,dish,"Bouillabaisse ( BOO-yə-BESS, US also  -⁠BAYSS, French: [bujabɛ(ː)s] ; Provençal: bolhabaissa [ˌbuʎaˈβajsɔ, ˌbujaˈbajsɔ]) is a traditional Provençal fish soup originating in the port city of Marseille. The word is originally a compound of the two Provençal verbs bolhir ('to boil') and abaissar ('to reduce heat', i.e. 'simmer').
Bouillabaisse was originally a dish made by Marseille fishermen, using bony rockfish, which they were unable to sell to restaurants or markets. There are at least three kinds of fish in a traditional bouillabaisse: typically red rascasse (Scorpaena scrofa); sea robin; and European conger. It can also include gilt-head bream, turbot, monkfish, mullet, or European hake.  It usually also includes shellfish and other seafood such as sea urchins, mussels, velvet crabs, spider crabs, or octopus. More expensive versions may add langoustine (Dublin Bay prawn; Norway lobster), though this was not part of the traditional dish made by Marseille fishermen. Vegetables such as",cultural exclusive
http://www.wikidata.org/entity/Q276452,Goliath Artists,American management company and record label,named entity,Music,record label,"Goliath Artists is an American management company and record label founded by Shady Records president and co-founder Paul Rosenberg, based in New York City, New York and Detroit, Michigan.


== Management ==


=== Current artists ===


=== Former artists ===
Action Bronson
The Alchemist
Blink-182
Cypress Hill
D12
DJ AM
DJ Muggs
The Knux
Spark Master Tape
TRV$DJAM
Xzibit


== Goliath Records ==


=== History ===
On February 21, 2020 it was reported that Paul Rosenberg was stepping down from Def Jam Recordings as Chairman and CEO to focus his time operating Shady Records, Goliath Artists, and his new venture Goliath Records. The following year, he announced his first signee on the Goliath Records roster, Indiana rapper Vince Ash and released his deluxe version of VITO through Interscope.


=== Current artists ===


== Discography ==


== References ==",cultural exclusive
http://www.wikidata.org/entity/Q374852,Glück auf,German miners' greeting phrase,concept,Gestures and habits,greeting,"Glückauf (alternative spelling Glück auf; also, as an exclamation: Glück auf!) is the traditional German miners' greeting. It describes the hope of the miners: ""es mögen sich Erzgänge auftun"" (""may lodes [of ore] be opened"") which is short for ""Ich wünsche Dir Glück, tu einen neuen Gang auf"" (""I wish you luck, open a new lode""), because, when mining for ore, without prospecting, no-one could predict with certainty whether the miners' work would lead to a reward.  The greeting also expressed the desire that miners would return safely from the mine after their shift.
Today it is still a common form of greeting in the Ore Mountains region of eastern Germany and in the Ruhr area, specifically Bochum, which is home to the German Mining Museum (Deutsches Bergbau-Museum).


== Emergence ==
The greeting emerged in the Saxon Ore Mountains towards the end of the 16th century, when the miners still entered and left the mines on foot using ladders (Fahrten) or man engines (Fahrkunst). That meant t",cultural exclusive
http://www.wikidata.org/entity/Q23529,message in a bottle,form of communication,concept,transportation,transport,"A message in a bottle (abbrev. MIB) is a form of communication in which a message is sealed in a container (typically a bottle) and released into a conveyance medium (typically a body of water).
Messages in bottles have been used to send distress messages; in crowdsourced scientific studies of ocean currents; as memorial tributes; to send deceased loved ones' ashes on a final journey; to convey expedition reports; and to carry letters or reports from those believing themselves to be doomed. Invitations to prospective pen pals and letters to actual or imagined love interests have also been sent as messages in bottles.
The lore surrounding messages in bottles has often been of a romantic or poetic nature.
Use of the term ""message in a bottle"" has expanded to include metaphorical uses or uses beyond its traditional meaning as bottled messages released into oceans. The term has been applied to plaques on craft launched into outer space, interstellar radio messages, stationary time capsules",cultural agnostic
http://www.wikidata.org/entity/Q39336,Rome Film Festival,"film festival that takes place in Rome, Italy",named entity,Films,film festival,"International Rome Film Fest is a film festival that takes place in Rome during the month of October. The name in Italian is Festa del Cinema di Roma. From 2022, the festival was officially recognized as a competitive festival by the International Federation of Film Producers Associations. The 17th edition of the festival, from which it became competitive festival, took place from 13 to 23 October 2022. Whereas the 18th edition of the festival took place from 18 to 29 October 2023.
The 19th edition of the festival took place from 16 to 27 October 2024 in the Auditorium Parco della Musica.


== Sections ==
The Rome Film Festival official program is divided into several sections:


=== Cinema d'Oggi ===
A selection of feature films, with priority given to world premieres. At the end of each screening, the audience votes for the People's Choice Award  | Cinema d'Oggi.


=== Gala ===
Feature films that are world premieres, international or European premieres.


=== Mondo Genere ===
Feature",cultural representative
http://www.wikidata.org/entity/Q59187,Vauxhall,"English car company, subsidiary of Stellantis",named entity,transportation,automobile manufacturer,"Vauxhall Motors Limited is a British car company headquartered in Chalton, Bedfordshire, England. Vauxhall became a subsidiary of PSA Group in 2017, and later, its successor Stellantis in January 2021, having previously been owned by General Motors since 1925.
Vauxhall is one of the oldest established vehicle manufacturers and distribution companies in the United Kingdom. It sells passenger cars, and electric and light commercial vehicles under the Vauxhall marque nationally, and used to sell vans, buses, and trucks under the Bedford brand.
Vauxhall was founded by Alexander Wilson in 1857 as a pump and marine engine manufacturer. It was purchased by Andrew Betts Brown in 1863, who began producing travelling cranes under the company, renaming it ""Vauxhall Iron Works"". The company began manufacturing cars in 1903, and changed its name back around this time. It was acquired by American automaker General Motors (GM) in 1925. Bedford Vehicles was established as a subsidiary of Vauxhall in 1",cultural representative
http://www.wikidata.org/entity/Q49000490,council architect,architect working for a local council,concept,architecture,architect,"A council architect or municipal architect (properly titled county architect, borough architect, city architect or district architect) is an architect employed by a local authority.  The name of the position varies depending on the type of local authority and is similar to that of county surveyor or chief engineer used by some authorities.  Council architects are employed in the United Kingdom but also used in Malta and Ireland.


== History ==
The role was once widespread with many counties, cities and other local authorities employing their own architect to design public works.  Council architects acted as designer, client and regulator for their authority, and having significant buying power, they were able to influence suppliers to accommodate their requirements.  They worked closely with the council planning department, with whom they were often co-located.  In 1953, the London County Council (LCC) employed more than 1,500 people within its architects department.
The LCC architect",cultural agnostic
http://www.wikidata.org/entity/Q5139107,coca flour,coca leaves powder,concept,food,food,"Coca flour is made from whole ground dried coca leaves harvested from the coca plant, Erythroxylum coca or Erythroxylum novogranatense. Coca flour is commercially produced and sold in stores in Argentina, Bolivia, Colombia and Peru.
Coca flour is primarily used regionally as a nutritional additive in breads, cakes, candy, juices and cereals. In the Andes it is widely accepted as a natural medicine, and used as a remedy for gastritis, colic, rheumatism, arthritis, dry cough, cholesterol and diabetes.
Coca flour is also used as a capsulized food supplement as it contains all natural properties of the whole coca leaf including the essential minerals (calcium, potassium, phosphorus), vitamins (B1, B2, C, and E) and nutrients such as protein and fiber.


== See also ==
Cocaine
Ypadu


== References ==


== External links ==
Safe Food - Coca flour",cultural exclusive
http://www.wikidata.org/entity/Q564278,Meunière sauce,"Butter, parsley, and lemon-based condiment",concept,food,cooking technique,"Meunière (UK: , US: , French: [mønjɛʁ] ; lit. 'miller's wife') is both a French sauce and a method of preparation, primarily for fish, consisting of brown butter, chopped parsley, and lemon. The name suggests a simple rustic nature, i.e. that to cook something à la meunière was originally to cook it by first dredging it in flour.


== Preparation ==
Meunière sauce is a variation on a brown butter sauce. While there is general agreement on the addition of parsley and lemon, some include ingredients such as Worcestershire sauce, red wine vinegar, or beef stock. Another common variation is to use pecans rather than almonds in an amandine.


== Fish meunière ==
There are two primary ways to prepare the fish (most popularly, sole or trout). One is by sautéing—first dredging the fish in seasoned flour (white flour or corn flour) and then cooking in a hot sauté pan with a small amount of clarified butter. The alternative method is to pan-fry or deep fry the floured fish. In pan frying, oil or",cultural representative
http://www.wikidata.org/entity/Q438533,alternative manga,sub genre of manga,concept,Comics and Anime,manga,"Alternative manga or underground manga is a Western term for Japanese comics that are published outside the more commercial manga market, or which have different art styles, themes, and narratives to those found in the more popular manga magazines. The term was taken from the similar alternative comics. The artistic center of alternative manga production was from the 1960s until the 1990s the manga magazine Garo, which is why in Japan, alternative manga are often called Garo-kei (ガロ系, lit. 'Garo-tique'), even if they were not published in Garo.


== History ==
Alternative manga originated in the lending libraries of post-war Japan, which charged a small fee for borrowing books. This market was essentially its own marketplace with many manga being printed exclusively for it. The market was notorious amongst parental groups for containing more lewd content than the normal mainstream manga publishers would allow. Consequently, the market tended to appeal to a slightly older adolescent aud",cultural agnostic
http://www.wikidata.org/entity/Q308876,stop-motion,animation technique to make a physically manipulated object appear to move on its own,concept,Comics and Anime,animation technique,"Stop motion (also known as stop frame animation) is an animated filmmaking and special effects technique in which objects are physically manipulated in small increments between individually photographed frames so that they will appear to exhibit independent motion or change when the series of frames is played back. Any kind of object can thus be animated, but puppets with movable joints (puppet animation) or clay figures (claymation) are most commonly used. Puppets, models or clay figures built around an armature are used in model animation. Stop motion with live actors is often referred to as pixilation. Stop motion of flat materials such as paper, fabrics or photographs is usually called cutout animation.


== Terminology ==
The term ""stop motion"", relating to the animation technique, is often spelled with a hyphen as ""stop-motion""—either standalone or as a compound modifier. Both orthographic variants, with and without the hyphen, are correct, but the hyphenated one has a second mea",cultural agnostic
